tx_id,step,type,amount,log_amount,hour_of_day,nameOrig,nameDest,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest,isFraud,frac_orig_spent,missing_dest_balance,is_dest_merchant,balance_diff_orig,balance_diff_dest,orig_balance_mismatch,dest_balance_mismatch,is_moving_out,is_moving_in
e3f44b7f31b7aa72d58961ed7d446b7d,1,TRANSFER,181.0,5.204006687076795,1,C1305486145,C553264065,181.0,0.0,0.0,0.0,1,0.9999999999944752,1,0,181.0,0.0,0,1,1,0
c248fb50550dc2cc3e4d278285415811,1,CASH_OUT,181.0,5.204006687076795,1,C840083671,C38997010,181.0,0.0,21182.0,0.0,1,0.9999999999944752,0,0,181.0,-21182.0,0,1,1,0
38c776c58182f115181a6a0581d444e4,1,TRANSFER,2806.0,7.939871576361883,1,C1420196421,C972765878,2806.0,0.0,0.0,0.0,1,0.9999999999996436,1,0,2806.0,0.0,0,1,1,0
00cdacb678d29b10f5f8e09ea85de6a8,1,CASH_OUT,2806.0,7.939871576361883,1,C2101527076,C1007251739,2806.0,0.0,26202.0,0.0,1,0.9999999999996436,0,0,2806.0,-26202.0,0,1,1,0
69cb0f05c455883e077692edde86b65d,1,TRANSFER,20128.0,9.909916840301031,1,C137533655,C1848415041,20128.0,0.0,0.0,0.0,1,0.9999999999999503,1,0,20128.0,0.0,0,1,1,0
8570e7d2b5b512b1939ba5f7158559e9,1,CASH_OUT,20128.0,9.909916840301031,1,C1118430673,C339924917,20128.0,0.0,6268.0,12145.85,1,0.9999999999999503,0,0,20128.0,5877.85,0,1,1,1
548ec5b4d0e4991542b96fa1aba1e2a0,1,CASH_OUT,416001.33,12.938446140189253,1,C749981943,C667346055,0.0,0.0,102.0,9291619.62,1,416001330000000.0,0,0,0.0,9291517.62,1,1,0,1
def2477a32c36f12141a8b26ea7e54b5,1,TRANSFER,1277212.77,14.060191521161451,1,C1334405552,C431687661,1277212.77,0.0,0.0,0.0,1,0.9999999999999992,1,0,1277212.77,0.0,0,1,1,0
0662260d82856775ab1bcda1ea16949f,1,CASH_OUT,1277212.77,14.060191521161451,1,C467632528,C716083600,1277212.77,0.0,0.0,2444985.19,1,0.9999999999999992,1,0,1277212.77,2444985.19,0,1,1,1
a68539f2e0d6955307ba1d8eac44f557,1,TRANSFER,35063.63,10.464948209083028,1,C1364127192,C1136419747,35063.63,0.0,0.0,0.0,1,0.9999999999999716,1,0,35063.63,0.0,0,1,1,0
